PdmarticleID;ExternalKey;ParentID;ProductLevel;show_in_2024
30716;IACSI13500600;12634;Item;yes
30738;IACSI19500600;12634;Item;yes
30761;IACSI25500600;12634;Item;yes
12503;IESCH0B250000;12473;Item;yes
12484;IESCH0B040000;12473;Item;yes
12485;IESCH0B050000;12473;Item;yes
12486;IESCH0B060000;12473;Item;yes
12487;IESCH0B070000;12473;Item;yes
12488;IESCH0B080000;12473;Item;yes
12489;IESCH0B090000;12473;Item;yes
12490;IESCH0B100000;12473;Item;yes
12491;IESCH0B110000;12473;Item;yes
12492;IESCH0B120000;12473;Item;yes
12493;IESCH0B130000;12473;Item;yes
12494;IESCH0B140000;12473;Item;yes
12495;IESCH0B150000;12473;Item;yes
12496;IESCH0B160000;12473;Item;yes
12498;IESCH0B180000;12473;Item;yes
12499;IESCH0B200000;12473;Item;yes
12500;IESCH0B210000;12473;Item;yes
12501;IESCH0B220000;12473;Item;yes
12502;IESCH0B230000;12473;Item;yes
24464;IESCH0B300000;12473;Item;yes
24465;IESCH0B240000;12473;Item;yes
24466;IESCH0B310000;12473;Item;yes
24467;IESCH0B270000;12473;Item;yes
24469;IESCH0B290000;12473;Item;yes
24470;IESCH0B320000;12473;Item;yes
24471;IESCH0B380000;12473;Item;yes
24472;IESCH0B370000;12473;Item;yes
24473;IESCH0B330000;12473;Item;yes
24474;IESCH0B360000;12473;Item;yes
24475;IESCH0B350000;12473;Item;yes
24476;IESCH0B390000;12473;Item;yes
24477;IESCH0B340000;12473;Item;yes
23886;IESCH0B400000;12473;Item;yes
23887;IESCH0B280000;12473;Item;yes
23888;IESCH0B260000;12473;Item;yes
23936;IESCH0B190000;12473;Item;yes
23937;IESCH0B170000;12473;Item;yes
12505;IESCH0T052000;12479;Item;yes
12506;IESCH0T057000;12479;Item;yes
12508;IESCH0T067000;12479;Item;yes
12509;IESCH0T073000;12479;Item;yes
12510;IESCH0T082000;12479;Item;yes
12511;IESCH0T088000;12479;Item;yes
12512;IESCH0T093000;12479;Item;yes
12513;IESCH0T100000;12479;Item;yes
12514;IESCH0T102000;12479;Item;yes
12515;IESCH0T108000;12479;Item;yes
12516;IESCH0T116000;12479;Item;yes
12517;IESCH0T120000;12479;Item;yes
12518;IESCH0T128000;12479;Item;yes
12520;IESCH0T136000;12479;Item;yes
12521;IESCH0T140000;12479;Item;yes
12522;IESCH0T149000;12479;Item;yes
12523;IESCH0T156000;12479;Item;yes
12524;IESCH0T169000;12479;Item;yes
12525;IESCH0T176000;12479;Item;yes
12526;IESCH0T189000;12479;Item;yes
12527;IESCH0T194000;12479;Item;yes
12528;IESCH0T214000;12479;Item;yes
12529;IESCH0T245000;12479;Item;yes
24491;IESCH0T182000;12479;Item;yes
24492;IESCH0T268000;12479;Item;yes
23974;IESCH0T130000;12479;Item;yes
23985;IESCH0T061000;12479;Item;yes
24510;IESCH0R001000;24168;Item;yes
12468;IESAA00396225;12457;Item;yes
12469;IESAA00396325;12457;Item;yes
12471;IESAA00396550;12457;Item;yes
24478;IESAA00396575;12457;Item;yes
30064;ISTYN20028009;24192;Item;yes
30066;ISTYN20028000;24192;Item;yes
30069;ISTYN20023000;24192;Item;yes
30070;ISTYN20036000;24192;Item;yes
30072;ISTYN20050009;24192;Item;yes
30073;ISTYN20078000;24192;Item;yes
30074;ISTYN20023009;24192;Item;yes
30075;ISTYN20036009;24192;Item;yes
30077;ISTYN20062009;24192;Item;yes
30078;ISTYN20050000;24192;Item;yes
30079;ISTYN20114009;24192;Item;yes
30081;ISTYN20062000;24192;Item;yes
30082;ISTYN20108000;24192;Item;yes
30083;ISTYN20078009;24192;Item;yes
30084;ISTYN20044000;24192;Item;yes
30085;ISTYN20054000;24192;Item;yes
30086;ISTYN20108009;24192;Item;yes
30087;ISTYN30028009;24192;Item;yes
